time,light power,pump work,pump sw,Camera1,Camera2,,,
5:30,0,60,0,,,,,
5:35,10,60,1,,,,,
5:40,20,60,0,,,,,
5:45,30,60,0,,,,,
6:00,40,60,0,,,,,
6:15,50,60,0,,,,,
6:30,60,60,0,,,,,
6:45,70,60,0,,,,,
7:00,80,60,0,,,,,
7:15,90,60,0,,,,,
7:30,90,60,0,,,,,
7:45,90,60,0,,,,,
8:35,90,60,1,,,,,
11:35,90,60,1,,,,,
12:00,90,60,0,1,0,,,
12:15,90,60,0,0,1,,,
14:35,90,60,1,,,,,
17:35,90,60,1,,,,,
20:00,80,60,0,,,,,
20:15,70,60,0,,,,,
20:30,60,60,0,,,,,
20:45,50,60,0,,,,,
21:00,40,60,0,,,,,
21:15,20,60,0,,,,,
21:30,10,60,0,,,,,
21:45,0,60,1,,,,,
0:00,0,60,0,1,0,,,
0:15,0,60,0,0,1,,,
